End Address,Driving Distance (meters),Driving Distance (miles)
"62 Sundrop Ct., Lake Jackson, TX",6239,3.876733669
"145 Oyster Creek Drive Suite 11a, Lake Jackson, TX",1454,0.903473434
"18932 Hwy. 35, Sweeny, TX TX",31702,19.69870344
"null, null, ",#ERROR!,
"400 College Blvd, Clute, TX TX",5371,3.337383641
"Jr., O.D., 4 West Way Ct.",#ERROR!,
"2904 N. Velasco St., Angleton, TX",19588,12.17141515
"208 E. 2nd St., Sweeny, TX TX",31358,19.48495182
"504 A. This Way, Lake Jackson, TX TX",1008,0.626341968
"117 Hwy. 332 W, Ste. D, Lake Jackson",1540,0.95691134
"1238 Canal, Surfside Beach, TX",22548,14.01067331
"121 E. Myrtle St., Ste. B, Angleton",16530,10.27126263
"132 Oyster Creek, Lake Jackson, TX TX",1517,0.942619807
"101 Eucalyptus Street, Lake Jackson, Texas 77566",3135,1.947998085
"908 S. Velasco, Angleton, TX",16354,10.16190133
"85 Oak Dr., Lake Jackson, TX TX",517,0.321248807
"802 Dixie Dr, Clute, Texas 77531",5676,3.526901796
"301 Plantation Dr., Lake Jackson, TX TX",4655,2.892482005
"1949 Victoria St., Freeport, TX TX",11787,7.324099977
"1821 N. Ave. J, Freeport, TX TX",11931,7.413577401
"105 Oyster Creek Dr., Ste. A, Lake Jackson",870,0.54059277
"349 E. Plantation, Clute, TX TX",8170,5.07660107
"105 Oyster Creek Dr., , Lake Jackson",870,0.54059277
"201 Oak Drive S., Suite 201, Lake Jackson",1956,1.215401676
"1824 FM 523, Ste. A, Oyster Creek",14796,9.193805316
"1003 W. Hwy. 332, Clute, TX",6774,4.209167154
"415 Garland Dr., Lake Jackson, TX 77566",5919,3.677894949
"100 Hwy. 332 #1282, Lake Jackson, TX 77566",1869,1.161342399
"5550 E. Hwy. 332, Freeport, TX TX",12462,7.743525402
"null, null, ",#ERROR!,
"101 Winding Way, Suite I, Lake Jackson",1658,1.030233118
"105 This Way, Lake Jackson, TX",236,0.146643556
"100 Abner Jackson Pkwy, Lake Jackson, Texas 77566",1445,0.897881095
"2121 Zapata St., Freeport, TX",12162,7.557114102
"16 Circle Way, Lake Jackson, TX TX",721,0.448008491
"10612 FM 1764 Rd, Santa Fe, Texas 77510",61160,38.00305036
"4005 Technology Dr., ste. 1020, Angleton",21120,13.12335552
"117 Hwy. 332 W., Ste. J, Lake Jackson",1563,0.971202873
"221 Hwy 332 W., Lake Jackson, TX",2810,1.74605251
"105 Circle Way St., Lake Jackson, TX 77566",554,0.344239534
"132 E. Hospital Drive, Angleton, TX 77515",20232,12.57157807
"222 N. Velasco St., Ste. 25, Angleton",16438,10.2140965
"210 That Way, Lake Jackson, TX TX",645,0.400784295
"6213 E. Hwy. 332, Freeport, TX TX",12302,7.644106042
"931 East Floodgate Road, Freeport, TX TX",15808,9.822632768
"435 Commerce St., Freeport, Clute",6774,4.209167154
"1429 Lawn Dr, Angleton, Texas Texas",20259,12.58835509
"AIA, 20445 TX-249, Ste. 350",125850,78.19954035
"null, null, ",#ERROR!,
"1055 Turning Basin, , Freeport",90989,56.53792592
"121 Hwy. 332 W., Lake Jackson, TX TX",1900,1.1806049
"810 Brazospark Dr., Clute, TX 77531",6128,3.807761488
"10310 FM 523, Angleton, TX TX",13724,8.527695604
"122 West Way. Ste. 301, Lake Jackson, TX",1187,0.737567377
"1800 Bering Dr., Ste. 550, Houston",90421,56.18498719
"107 Parking Way, Lake Jackson, Texas Texas",520,0.32311292
"1405 W. Hwy. 332, Clute, TX TX",6774,4.209167154
"123 W. Hwy. 332, Lake Jackson, TX",1902,1.181847642
"602 Jaco, Clute, TX TX",8974,5.576183354
"PGA, 501 W. Hwy. 332, Lake Jackson",3919,2.435152949
"430 W. Plantation, Clute, TX",6016,3.738167936
"null, null, ",#ERROR!,
"622 Commerce, Clute, TX",8732,5.425811572
"603 E. Plantation, Clute, TX",8521,5.294702291
"21021 Springbrook Plaza Dr, Suite 240, ",128232,79.67964607
"206 Hwy. 332, Lake Jackson, TX",2451,1.522980321
"102 This Way, Lake Jackson, TX TX",564,0.350453244
"1200 N. Hwy. 288-B, Richwood, TX TX",6428,3.994172788
"215 Oak Dr. S., ste. J, Lake Jackson",2136,1.327248456
"229 Parking Way, Lake Jackson, Texas 77566",503,0.312549613
"527 Logwood Ave., San Antonio, TX 78221",351303,218.2894964
"137 E. Mulberry, Angleton, Texas Texas",16367,10.16997916
